OrderNumber,Order Quantity,Discount Applied,Unit Price,Unit Cost
SO - 0004644,7,0.4,"2,586.20","1,370.69"
SO - 0004645,7,0.1,"5,634.70","3,268.13"
SO - 0004646,5,0.075,"3,859.20","2,855.81"
SO - 0004647,4,0.3,207.70,95.54
SO - 0004648,8,0.05,"1,139.00",615.06
SO - 0004649,3,0.15,"3,986.50","2,910.15"
SO - 0004650,3,0.05,944.70,377.88
SO - 0004651,4,0.1,884.40,389.14
SO - 0004652,1,0.075,"1,118.90",760.85
SO - 0004653,4,0.05,"1,232.80",788.99
SO - 0004654,6,0.075,194.30,128.24
SO - 0004655,5,0.05,"1,025.10",625.31
SO - 0004656,7,0.075,"3,919.50","2,430.09"
SO - 0004657,6,0.075,"1,782.20",962.39
SO - 0004658,8,0.075,"2,278.00","1,116.22"
SO - 0004659,5,0.05,"2,532.60","2,076.73"
SO - 0004660,8,0.1,"3,999.90","2,319.94"
SO - 0004661,2,0.075,"1,829.10",749.93
SO - 0004662,6,0.05,"5,949.60","2,498.83"
SO - 0004663,3,0.05,"1,065.30",777.67
SO - 0004664,7,0.4,"1,105.50",519.59
SO - 0004665,8,0.05,"2,680.00","1,688.40"
SO - 0004666,1,0.2,777.20,536.27
SO - 0004667,3,0.075,"3,865.90","1,855.63"
SO - 0004668,2,0.1,"2,003.30","1,161.91"
SO - 0004669,5,0.1,"6,210.90","2,857.01"
SO - 0004670,7,0.05,"2,579.50","2,037.81"
SO - 0004671,3,0.05,201.00,118.59
SO - 0004672,8,0.15,"1,721.90",929.83
SO - 0004673,4,0.075,"5,232.70","3,924.53"
SO - 0004674,7,0.2,"5,413.60","2,869.21"
SO - 0004675,3,0.2,"1,011.70",607.02
SO - 0004676,3,0.05,"4,006.60","2,524.16"
SO - 0004677,3,0.075,"1,855.90","1,373.37"
SO - 0004678,4,0.075,"3,651.50","2,921.20"
SO - 0004679,8,0.2,187.60,99.43
SO - 0004680,5,0.4,"1,125.60",607.82
SO - 0004681,1,0.075,"5,045.10","3,027.06"
SO - 0004682,4,0.15,214.40,150.08
SO - 0004683,7,0.075,"1,876.00","1,331.96"
SO - 0004684,3,0.075,"1,125.60",551.54
SO - 0004685,1,0.075,"3,986.50","2,989.88"
SO - 0004686,6,0.075,"6,204.20","4,901.32"
SO - 0004687,8,0.075,"1,065.30",767.02
SO - 0004688,5,0.2,"1,038.50",633.49
SO - 0004689,3,0.1,"6,539.20","3,138.82"
SO - 0004690,4,0.1,"1,011.70",526.08
SO - 0004691,7,0.05,"3,242.80","2,561.81"
SO - 0004692,2,0.05,"1,721.90",843.73
SO - 0004693,2,0.075,"3,986.50","2,910.15"
SO - 0004694,3,0.15,"1,728.60","1,279.16"
SO - 0004695,3,0.075,201.00,106.53
SO - 0004696,1,0.15,971.50,582.90
SO - 0004697,4,0.3,958.10,594.02
SO - 0004698,8,0.4,"3,953.00","1,818.38"
SO - 0004699,1,0.2,"1,239.50",706.52
SO - 0004700,4,0.05,"5,621.30","4,215.98"
SO - 0004701,1,0.075,"3,839.10","1,881.16"
SO - 0004702,2,0.05,"2,519.20","1,309.98"
SO - 0004703,1,0.05,"1,005.00",572.85
SO - 0004704,7,0.05,"1,212.70",933.78
SO - 0004705,4,0.075,"5,031.70","2,364.90"
SO - 0004706,6,0.075,"2,418.70","1,330.29"
SO - 0004707,3,0.075,"1,085.40",716.36
SO - 0004708,3,0.1,"5,728.50","3,207.96"
SO - 0004709,7,0.2,214.40,122.21
SO - 0004710,7,0.075,891.10,525.75
SO - 0004711,3,0.05,"1,065.30",639.18
SO - 0004712,1,0.05,"6,277.90","3,892.30"
SO - 0004713,4,0.15,"1,085.40",868.32
SO - 0004714,8,0.4,"5,393.50","3,128.23"
SO - 0004715,7,0.05,234.50,119.60
SO - 0004716,6,0.075,978.20,410.84
SO - 0004717,6,0.2,254.60,155.31
SO - 0004718,7,0.2,"1,252.90","1,052.44"
SO - 0004719,8,0.075,"1,098.80",813.11
SO - 0004720,4,0.075,"1,058.60",592.82
SO - 0004721,8,0.05,201.00,132.66
SO - 0004722,4,0.075,"1,045.20",867.52
SO - 0004723,6,0.05,"2,358.40","1,132.03"
SO - 0004724,4,0.15,"2,572.80","1,132.03"
SO - 0004725,5,0.05,"1,065.30",585.92
SO - 0004726,1,0.05,"2,298.10","1,884.44"
SO - 0004727,2,0.1,"2,814.00","1,997.94"
SO - 0004728,7,0.2,"1,118.90",760.85
SO - 0004729,4,0.4,"1,098.80",472.48
SO - 0004730,8,0.075,"1,855.90",760.92
SO - 0004731,7,0.05,"2,532.60","1,696.84"
SO - 0004732,6,0.1,"1,340.00",737.00
SO - 0004733,4,0.15,"1,728.60","1,382.88"
SO - 0004734,8,0.05,"1,105.50",486.42
SO - 0004735,8,0.075,850.90,485.01
SO - 0004736,1,0.4,"5,118.80","3,020.09"
SO - 0004737,4,0.4,"2,318.20","1,460.47"
SO - 0004738,3,0.075,837.50,644.88
SO - 0004739,8,0.4,"1,996.60","1,337.72"
SO - 0004740,7,0.3,"4,006.60","3,004.95"
SO - 0004741,2,0.05,"1,051.90",683.74
SO - 0004742,1,0.05,"3,946.30","2,525.63"
SO - 0004743,5,0.4,984.90,472.75
SO - 0004744,8,0.075,"2,934.60","1,496.65"
SO - 0004745,8,0.2,"3,798.90","2,925.15"
SO - 0004746,2,0.1,"3,819.00","3,055.20"
SO - 0004747,2,0.1,"1,869.30","1,476.75"
SO - 0004748,2,0.05,"1,132.30",486.89
SO - 0004749,2,0.15,817.40,678.44
SO - 0004750,3,0.15,"1,125.60",461.50
SO - 0004751,7,0.15,"1,172.50",515.90
SO - 0004752,8,0.05,"1,152.40",749.06
SO - 0004753,7,0.05,"6,170.70","3,270.47"
SO - 0004754,7,0.075,"6,304.70","5,106.81"
SO - 0004755,1,0.075,857.60,711.81
SO - 0004756,6,0.2,"5,051.80","2,020.72"
SO - 0004757,3,0.05,268.00,125.96
SO - 0004758,2,0.1,"1,132.30",837.90
SO - 0004759,1,0.05,"3,309.80","1,886.59"
SO - 0004760,7,0.05,931.30,400.46
SO - 0004761,1,0.3,"2,331.60","1,002.59"
SO - 0004762,7,0.1,"5,065.20","2,026.08"
SO - 0004763,3,0.05,837.50,653.25
SO - 0004764,2,0.05,690.10,282.94
SO - 0004765,7,0.05,"2,626.40","1,575.84"
SO - 0004766,2,0.15,"2,425.40","1,479.49"
SO - 0004767,3,0.075,"3,865.90","3,247.36"
SO - 0004768,2,0.075,783.90,501.70
SO - 0004769,8,0.075,"5,112.10","3,322.87"
SO - 0004770,6,0.1,"1,809.00","1,049.22"
SO - 0004771,6,0.1,"2,673.30","1,764.38"
SO - 0004772,6,0.075,"3,973.10","2,781.17"
SO - 0004773,2,0.15,"1,862.60","1,229.32"
SO - 0004774,3,0.15,958.10,526.96
SO - 0004775,8,0.3,911.20,774.52
SO - 0004776,6,0.15,"1,025.10",410.04
SO - 0004777,8,0.05,"2,224.40",934.25
SO - 0004778,3,0.2,"2,358.40","1,768.80"
SO - 0004779,6,0.15,"3,946.30","2,525.63"
SO - 0004780,7,0.05,911.20,428.26
SO - 0004781,5,0.05,777.20,466.32
SO - 0004782,6,0.075,"2,345.00","1,195.95"
SO - 0004783,6,0.05,"3,162.40","1,676.07"
SO - 0004784,5,0.15,"2,532.60","1,519.56"
SO - 0004785,3,0.15,201.00,90.45
SO - 0004786,2,0.05,"1,025.10",779.08
SO - 0004787,4,0.075,"3,484.00","1,567.80"
SO - 0004788,7,0.1,"2,592.90","2,048.39"
SO - 0004789,2,0.3,"2,773.80","1,692.02"
SO - 0004790,1,0.4,"1,085.40",607.82
SO - 0004791,2,0.1,"3,912.80","3,208.50"
SO - 0004792,5,0.05,167.50,83.75
SO - 0004793,8,0.075,"1,795.60",897.80
SO - 0004794,3,0.05,"3,892.70","2,841.67"
SO - 0004795,1,0.1,174.20,83.62
SO - 0004796,6,0.05,"2,572.80","1,878.14"
SO - 0004797,8,0.075,201.00,98.49
SO - 0004798,3,0.075,"3,999.90","2,599.94"
SO - 0004799,3,0.075,"1,788.90","1,234.34"
SO - 0004800,7,0.3,201.00,132.66
SO - 0004801,4,0.075,241.20,106.13
SO - 0004802,4,0.075,"1,065.30",798.98
SO - 0004803,4,0.075,"2,432.10","1,507.90"
SO - 0004804,2,0.05,"3,825.70","3,137.07"
SO - 0004805,7,0.075,"5,393.50","3,937.26"
SO - 0004806,7,0.4,"3,986.50","1,674.33"
SO - 0004807,5,0.075,"1,005.00",582.90
SO - 0004808,7,0.2,"6,036.70","2,837.25"
SO - 0004809,7,0.05,"2,385.20","1,311.86"
SO - 0004810,8,0.1,"1,072.00",771.84
SO - 0004811,7,0.1,"5,085.30","2,695.21"
SO - 0004812,5,0.15,"3,845.80","1,922.90"
SO - 0004813,6,0.4,"1,286.40",668.93
SO - 0004814,8,0.075,"1,078.70",809.03
SO - 0004815,7,0.1,"5,802.20","4,583.74"
SO - 0004816,8,0.15,"1,721.90","1,050.36"
SO - 0004817,1,0.15,944.70,736.87
SO - 0004818,3,0.15,247.90,131.39
SO - 0004819,6,0.1,"1,929.60","1,447.20"
SO - 0004820,2,0.075,971.50,612.05
SO - 0004821,1,0.05,"1,118.90",716.10
SO - 0004822,7,0.1,991.60,813.11
SO - 0004823,6,0.05,"2,291.40","1,810.21"
SO - 0004824,4,0.05,944.70,576.27
SO - 0004825,5,0.05,"3,865.90","2,164.90"
SO - 0004826,3,0.075,"1,118.90",850.36
SO - 0004827,8,0.15,180.90,123.01
SO - 0004828,4,0.1,"5,681.60","3,238.51"
SO - 0004829,6,0.3,"2,680.00","1,581.20"
SO - 0004830,6,0.1,"1,782.20","1,122.79"
SO - 0004831,2,0.15,"1,085.40",922.59
SO - 0004832,3,0.075,"4,006.60","3,325.48"
SO - 0004833,3,0.1,"1,849.20","1,516.34"
SO - 0004834,5,0.075,"1,829.10","1,188.92"
SO - 0004835,6,0.2,"2,418.70","1,378.66"
SO - 0004836,3,0.075,"1,701.80","1,055.12"
SO - 0004837,1,0.075,"1,072.00",568.16
SO - 0004838,8,0.075,"3,819.00","2,864.25"
SO - 0004839,5,0.15,871.00,740.35
SO - 0004840,1,0.1,"3,892.70","1,712.79"
SO - 0004841,1,0.05,"3,845.80","2,384.40"
SO - 0004842,7,0.05,"1,085.40",596.97
SO - 0004843,3,0.15,"2,244.50","1,054.92"
SO - 0004844,5,0.05,"1,005.00",472.35
SO - 0004845,4,0.1,"1,929.60","1,370.02"
SO - 0004846,5,0.05,"1,098.80",791.14
SO - 0004847,3,0.1,864.30,475.37
SO - 0004848,5,0.075,"5,922.80","2,428.35"
SO - 0004849,4,0.4,"3,859.20","1,929.60"
SO - 0004850,2,0.075,"3,912.80","1,565.12"
SO - 0004851,2,0.075,"1,179.20",978.74
SO - 0004852,4,0.075,"1,681.70","1,378.99"
SO - 0004853,1,0.2,"2,425.40","1,697.78"
SO - 0004854,8,0.075,"1,118.90",760.85
SO - 0004855,6,0.075,"1,326.60",955.15
SO - 0004856,1,0.075,"2,974.80","1,487.40"
SO - 0004857,1,0.15,180.90,88.64
SO - 0004858,3,0.05,"5,996.50","4,917.13"
SO - 0004859,4,0.05,"2,425.40","1,164.19"
SO - 0004860,4,0.05,"5,460.50","4,313.80"
SO - 0004861,2,0.2,891.10,499.02
SO - 0004862,4,0.05,"1,688.40","1,063.69"
SO - 0004863,7,0.4,"2,324.90","1,441.44"
SO - 0004864,4,0.2,"1,011.70",414.80
SO - 0004865,8,0.2,234.50,180.57
SO - 0004866,5,0.05,"1,078.70",625.65
SO - 0004867,2,0.05,207.70,112.16
SO - 0004868,8,0.15,"2,264.60","1,109.65"
SO - 0004869,6,0.05,884.40,566.02
SO - 0004870,8,0.075,"2,840.80","2,045.38"
SO - 0004871,3,0.075,"5,681.60","2,897.62"
SO - 0004872,7,0.1,"5,936.20","3,027.46"
SO - 0004873,1,0.3,"1,078.70",550.14
SO - 0004874,7,0.05,"2,653.20","1,485.79"
SO - 0004875,6,0.075,268.00,131.32
SO - 0004876,7,0.1,"1,098.80",890.03
SO - 0004877,6,0.075,"3,999.90","3,399.92"
SO - 0004878,7,0.075,"6,204.20","3,226.18"
SO - 0004879,3,0.15,"2,257.90","1,151.53"
SO - 0004880,8,0.4,"2,318.20","1,460.47"
SO - 0004881,5,0.2,"2,680.00","1,125.60"
SO - 0004882,3,0.05,"1,125.60",787.92
SO - 0004883,7,0.075,"3,932.90","2,713.70"
SO - 0004884,8,0.05,"5,460.50","4,586.82"
SO - 0004885,8,0.05,"1,139.00",501.16
SO - 0004886,5,0.075,254.60,165.49
SO - 0004887,3,0.1,"2,539.30","1,015.72"
SO - 0004888,8,0.2,"5,748.60","4,598.88"
SO - 0004889,1,0.4,"1,809.00","1,193.94"
SO - 0004890,4,0.1,167.50,122.28
SO - 0004891,3,0.05,194.30,161.27
SO - 0004892,6,0.3,"3,932.90","1,691.15"
SO - 0004893,1,0.075,"3,376.80","1,857.24"
SO - 0004894,8,0.05,"5,433.70","3,803.59"
SO - 0004895,5,0.075,"5,855.80","4,216.18"
SO - 0004896,4,0.15,844.20,438.98
SO - 0004897,6,0.1,931.30,596.03
SO - 0004898,4,0.05,797.30,677.71
SO - 0004899,5,0.05,877.70,465.18
SO - 0004900,2,0.05,"2,405.30",986.17
SO - 0004901,7,0.075,254.60,188.40
SO - 0004902,2,0.075,"1,983.20","1,665.89"
SO - 0004903,6,0.15,"1,098.80",791.14
SO - 0004904,4,0.15,"1,286.40",514.56
SO - 0004905,2,0.15,"2,626.40","1,549.58"
SO - 0004906,6,0.15,"3,892.70","2,218.84"
SO - 0004907,8,0.05,"1,139.00",660.62
SO - 0004908,3,0.1,261.30,143.72
SO - 0004909,4,0.05,234.50,143.05
SO - 0004910,8,0.15,"1,319.90",884.33
SO - 0004911,7,0.075,"2,673.30","1,229.72"
SO - 0004912,5,0.1,"2,948.00","1,621.40"
SO - 0004913,2,0.05,167.50,75.38
SO - 0004914,7,0.15,"3,872.60","3,059.35"
SO - 0004915,1,0.075,"3,932.90","3,185.65"
SO - 0004916,5,0.075,"1,058.60",688.09
SO - 0004917,5,0.05,187.60,88.17
SO - 0004918,8,0.075,"2,613.00","2,168.79"
SO - 0004919,6,0.05,"1,963.10","1,040.44"
SO - 0004920,6,0.075,"3,993.20","3,154.63"
SO - 0004921,7,0.075,770.50,392.96
SO - 0004922,2,0.15,"5,540.90","4,488.13"
SO - 0004923,2,0.05,"1,949.70","1,559.76"
SO - 0004924,2,0.05,"5,889.30","4,888.12"
SO - 0004925,4,0.075,730.30,496.60
SO - 0004926,4,0.075,"3,872.60","1,858.85"
SO - 0004927,5,0.075,"3,577.80","1,645.79"
SO - 0004928,1,0.05,"2,532.60","1,063.69"
SO - 0004929,8,0.1,"2,673.30","2,138.64"
SO - 0004930,7,0.05,"1,065.30",894.85
SO - 0004931,4,0.15,"1,132.30",634.09
SO - 0004932,2,0.05,"5,333.20","4,266.56"
SO - 0004933,1,0.075,857.60,420.22
SO - 0004934,8,0.075,174.20,128.91
SO - 0004935,8,0.05,"5,326.50","4,367.73"
SO - 0004936,7,0.2,180.90,139.29
SO - 0004937,7,0.05,"1,802.30","1,369.75"
SO - 0004938,2,0.05,"3,879.30","1,706.89"
SO - 0004939,3,0.05,"1,051.90",820.48
SO - 0004940,1,0.05,"3,906.10","2,226.48"
SO - 0004941,5,0.05,891.10,507.93
SO - 0004942,2,0.075,221.10,170.25
SO - 0004943,3,0.15,"3,986.50","2,551.36"
SO - 0004944,1,0.2,187.60,153.83
SO - 0004945,5,0.1,214.40,102.91
SO - 0004946,2,0.1,"1,748.70",909.32
SO - 0004947,6,0.075,"1,969.80","1,477.35"
SO - 0004948,3,0.3,"3,953.00","2,648.51"
SO - 0004949,1,0.05,"2,512.50","1,105.50"
SO - 0004950,4,0.15,"3,825.70","3,098.82"
SO - 0004951,1,0.1,207.70,89.31
SO - 0004952,6,0.15,"1,929.60","1,254.24"
SO - 0004953,7,0.1,"1,145.70",458.28
SO - 0004954,5,0.1,"2,552.70","1,072.13"
SO - 0004955,6,0.075,"5,561.00","2,335.62"
SO - 0004956,8,0.075,214.40,120.06
SO - 0004957,1,0.075,"2,371.80","1,470.52"
SO - 0004958,2,0.075,"1,038.50",498.48
SO - 0004959,8,0.075,"1,011.70",566.55
SO - 0004960,7,0.075,"3,926.20","2,944.65"
SO - 0004961,2,0.1,"6,070.20","4,127.74"
SO - 0004962,5,0.075,"5,996.50","5,097.03"
SO - 0004963,4,0.2,"5,071.90","3,246.02"
SO - 0004964,7,0.15,"6,164.00","4,129.88"
SO - 0004965,5,0.1,"3,825.70","1,874.59"
SO - 0004966,3,0.1,"1,715.20",806.14
SO - 0004967,3,0.05,"3,845.80","2,230.56"
SO - 0004968,2,0.1,"1,078.70",431.48
SO - 0004969,3,0.1,"1,045.20",480.79
SO - 0004970,1,0.05,268.00,123.28
SO - 0004971,7,0.075,"1,802.30","1,153.47"
SO - 0004972,2,0.1,"1,025.10",830.33
SO - 0004973,1,0.1,"2,579.50","1,031.80"
SO - 0004974,7,0.05,"6,257.80","2,816.01"
SO - 0004975,5,0.075,"5,333.20","4,426.56"
SO - 0004976,8,0.15,"1,675.00","1,155.75"
SO - 0004977,1,0.1,"1,139.00",466.99
SO - 0004978,3,0.075,"1,011.70",667.72
SO - 0004979,4,0.075,174.20,90.58
SO - 0004980,3,0.2,"1,775.50",710.20
SO - 0004981,1,0.05,"1,065.30",522.00
SO - 0004982,3,0.05,"6,123.80","4,041.71"
SO - 0004983,6,0.075,"2,452.20","1,986.28"
SO - 0004984,5,0.1,"3,906.10","2,226.48"
SO - 0004985,5,0.05,"2,351.70","1,622.67"
SO - 0004986,3,0.05,991.60,793.28
SO - 0004987,5,0.15,"5,226.00","3,240.12"
SO - 0004988,1,0.1,"5,936.20","3,027.46"
SO - 0004989,8,0.075,"1,051.90",525.95
SO - 0004990,5,0.1,"1,018.40",794.35
SO - 0004991,7,0.05,"3,731.90","2,948.20"
SO - 0004992,2,0.1,"3,276.30","2,588.28"
SO - 0004993,7,0.4,"1,105.50",718.58
SO - 0004994,4,0.05,"6,539.20","4,708.22"
SO - 0004995,4,0.075,"3,517.50","2,778.83"
SO - 0004996,2,0.075,"2,338.30","1,099.00"
SO - 0004997,1,0.2,"2,231.10",892.44
SO - 0004998,6,0.075,911.20,537.61
SO - 0004999,7,0.05,"6,277.90","4,520.09"
SO - 0005000,3,0.2,"2,371.80",996.16
SO - 0005001,2,0.2,"1,969.80",984.90
SO - 0005002,2,0.2,"5,996.50","2,818.36"
SO - 0005003,8,0.1,"3,865.90","2,396.86"
SO - 0005004,5,0.075,"5,768.70","4,557.27"
SO - 0005005,5,0.15,"1,916.20","1,341.34"
SO - 0005006,2,0.075,"1,989.90","1,392.93"
SO - 0005007,1,0.1,"3,370.10","2,763.48"
SO - 0005008,6,0.2,850.90,697.74
SO - 0005009,2,0.05,"1,125.60",697.87
SO - 0005010,8,0.075,"6,157.30","3,509.66"
SO - 0005011,6,0.075,"1,005.00",592.95
SO - 0005012,5,0.075,"2,479.00","1,735.30"
SO - 0005013,5,0.075,"1,989.90","1,492.43"
SO - 0005014,7,0.05,716.90,336.94
SO - 0005015,4,0.1,"1,688.40",894.85
SO - 0005016,8,0.3,"2,619.70","1,938.58"
SO - 0005017,3,0.05,"1,728.60","1,400.17"
SO - 0005018,1,0.075,"3,993.20","1,637.21"
SO - 0005019,3,0.05,"2,398.60","1,199.30"
SO - 0005020,6,0.05,884.40,548.33
SO - 0005021,8,0.1,804.00,353.76
SO - 0005022,6,0.15,897.80,475.83
SO - 0005023,4,0.075,"3,859.20","1,891.01"
SO - 0005024,7,0.1,951.40,675.49
SO - 0005025,2,0.1,201.00,120.60
SO - 0005026,3,0.15,"2,566.10","1,950.24"
SO - 0005027,7,0.05,"1,728.60",968.02
SO - 0005028,3,0.075,"5,132.20","3,028.00"
SO - 0005029,6,0.075,"5,480.60","4,439.29"
SO - 0005030,4,0.15,"3,953.00","2,688.04"
SO - 0005031,6,0.075,964.80,530.64
SO - 0005032,4,0.075,"1,943.00","1,068.65"
SO - 0005033,8,0.15,"3,892.70","3,075.23"
SO - 0005034,3,0.075,"5,822.30","4,541.39"
SO - 0005035,3,0.15,"1,755.40","1,299.00"
SO - 0005036,4,0.1,"3,128.90","1,439.29"
SO - 0005037,3,0.075,"2,318.20","1,553.19"
SO - 0005038,5,0.1,"1,735.30","1,145.30"
SO - 0005039,7,0.05,"3,879.30","1,551.72"
SO - 0005040,8,0.05,"3,932.90","1,887.79"
SO - 0005041,2,0.1,"1,045.20",543.50
SO - 0005042,7,0.1,214.40,124.35
SO - 0005043,4,0.05,897.80,466.86
SO - 0005044,1,0.3,"1,139.00",717.57
SO - 0005045,5,0.05,"5,460.50","2,348.02"
SO - 0005046,3,0.075,"2,391.90","1,841.76"
SO - 0005047,6,0.3,"5,996.50","4,557.34"
SO - 0005048,2,0.075,"1,728.60",726.01
SO - 0005049,4,0.15,"3,343.30","2,240.01"
SO - 0005050,6,0.1,174.20,81.87
SO - 0005051,6,0.05,"1,058.60",561.06
SO - 0005052,5,0.075,964.80,395.57
SO - 0005053,1,0.05,"3,966.40","2,300.51"
SO - 0005054,1,0.05,"2,633.10","1,895.83"
SO - 0005055,7,0.05,"1,011.70",819.48
SO - 0005056,8,0.05,"3,892.70","2,802.74"
SO - 0005057,7,0.05,"3,805.60","1,636.41"
SO - 0005058,7,0.05,"1,031.80",825.44
SO - 0005059,4,0.05,"6,090.30","2,618.83"
SO - 0005060,2,0.05,"3,892.70","2,102.06"
SO - 0005061,1,0.1,"2,231.10","1,070.93"
SO - 0005062,6,0.15,"3,953.00","3,320.52"
SO - 0005063,1,0.075,931.30,726.41
SO - 0005064,4,0.3,"2,626.40","1,365.73"
SO - 0005065,6,0.15,"1,681.70","1,294.91"
SO - 0005066,2,0.2,"1,266.30",987.71
SO - 0005067,5,0.1,"3,356.70","1,879.75"
SO - 0005068,6,0.1,"1,112.20",767.42
SO - 0005069,8,0.05,"1,862.60",819.54
SO - 0005070,2,0.1,254.60,106.93
SO - 0005071,1,0.2,"3,919.50","2,822.04"
SO - 0005072,1,0.05,"3,979.80","3,024.65"
SO - 0005073,6,0.15,"3,859.20","1,852.42"
SO - 0005074,8,0.3,214.40,109.34
SO - 0005075,1,0.075,"1,252.90",989.79
SO - 0005076,8,0.15,"4,013.30","2,367.85"
SO - 0005077,8,0.075,"1,112.20",645.08
SO - 0005078,8,0.05,"3,859.20","2,662.85"
SO - 0005079,5,0.1,"3,825.70","3,137.07"
SO - 0005080,7,0.1,241.20,173.66
SO - 0005081,5,0.4,"3,979.80","2,467.48"
SO - 0005082,8,0.075,"3,899.40","3,197.51"
SO - 0005083,3,0.05,"2,412.00","1,736.64"
SO - 0005084,8,0.075,"5,875.90","4,289.41"
SO - 0005085,1,0.3,"5,293.00","3,122.87"
SO - 0005086,7,0.075,"3,912.80","1,995.53"
SO - 0005087,3,0.075,"1,159.10",718.64
SO - 0005088,4,0.1,"1,125.60",596.57
SO - 0005089,8,0.05,"3,912.80","1,956.40"
SO - 0005090,7,0.05,227.80,159.46
SO - 0005091,7,0.075,"1,018.40",407.36
SO - 0005092,8,0.1,938.00,684.74
SO - 0005093,3,0.05,227.80,102.51
SO - 0005094,7,0.05,"1,005.00",673.35
SO - 0005095,2,0.075,227.80,166.29
SO - 0005096,5,0.05,"1,072.00",546.72
SO - 0005097,1,0.075,"2,505.80","1,954.52"
SO - 0005098,5,0.05,"4,020.00","3,015.00"
SO - 0005099,4,0.05,"5,916.10","3,253.86"
SO - 0005100,4,0.1,"1,092.10",567.89
SO - 0005101,4,0.15,"3,959.70","2,375.82"
SO - 0005102,3,0.1,"3,845.80","1,884.44"
SO - 0005103,7,0.1,"3,919.50","2,586.87"
SO - 0005104,6,0.2,268.00,131.32
SO - 0005105,8,0.05,"3,986.50","1,634.47"
SO - 0005106,7,0.075,"2,680.00","1,795.60"
SO - 0005107,3,0.075,"1,045.20",501.70
SO - 0005108,1,0.05,"5,949.60","3,272.28"
SO - 0005109,5,0.075,"3,946.30","1,578.52"
SO - 0005110,2,0.2,"1,969.80","1,536.44"
SO - 0005111,2,0.05,"5,862.50","2,872.63"
SO - 0005112,5,0.15,"1,681.70",739.95
SO - 0005113,8,0.05,"2,432.10","1,361.98"
SO - 0005114,6,0.075,"1,701.80","1,429.51"
SO - 0005115,8,0.15,"3,504.10","2,207.58"
SO - 0005116,6,0.2,"2,639.80","1,689.47"
SO - 0005117,7,0.075,"1,701.80","1,021.08"
SO - 0005118,3,0.05,"5,514.10","2,315.92"
SO - 0005119,8,0.2,"1,105.50",696.47
SO - 0005120,5,0.075,"1,031.80",815.12
SO - 0005121,2,0.075,"5,681.60","4,090.75"
SO - 0005122,1,0.15,"2,525.90","1,869.17"
SO - 0005123,6,0.075,"1,279.70",639.85
SO - 0005124,4,0.05,"3,095.40","2,073.92"
SO - 0005125,2,0.15,174.20,146.33
SO - 0005126,2,0.1,978.20,684.74
SO - 0005127,1,0.05,227.80,148.07
SO - 0005128,4,0.05,227.80,161.74
SO - 0005129,4,0.15,"6,318.10","4,738.58"
SO - 0005130,3,0.05,"1,701.80",935.99
SO - 0005131,6,0.075,"3,055.20","2,230.30"
SO - 0005132,5,0.05,877.70,728.49
SO - 0005133,7,0.15,"1,098.80",901.02
SO - 0005134,3,0.05,958.10,469.47
SO - 0005135,3,0.075,"1,005.00",452.25
SO - 0005136,3,0.05,"1,058.60",804.54
SO - 0005137,4,0.15,"1,058.60",698.68
SO - 0005138,3,0.075,"5,540.90","2,438.00"
SO - 0005139,8,0.15,"1,132.30",600.12
SO - 0005140,5,0.05,"1,125.60",506.52
SO - 0005141,3,0.05,"2,552.70","1,225.30"
SO - 0005142,2,0.075,"1,018.40",661.96
SO - 0005143,6,0.05,964.80,472.75
SO - 0005144,7,0.05,964.80,685.01
SO - 0005145,8,0.075,"2,492.40",996.96
SO - 0005146,6,0.4,971.50,806.35
SO - 0005147,1,0.2,"1,065.30",777.67
SO - 0005148,1,0.15,"6,130.50","3,310.47"
SO - 0005149,4,0.15,"2,653.20","1,936.84"
SO - 0005150,6,0.1,"1,125.60",607.82
SO - 0005151,8,0.15,857.60,531.71
SO - 0005152,1,0.2,"1,782.20","1,354.47"
SO - 0005153,6,0.075,"2,010.00","1,045.20"
SO - 0005154,4,0.05,857.60,660.35
SO - 0005155,5,0.1,871.00,644.54
SO - 0005156,8,0.075,"2,559.40","1,945.14"
SO - 0005157,7,0.05,"3,812.30","1,601.17"
SO - 0005158,7,0.075,"1,058.60",571.64
SO - 0005159,1,0.15,"2,479.00","1,958.41"
SO - 0005160,5,0.1,"1,742.00","1,480.70"
SO - 0005161,2,0.05,"3,162.40","1,739.32"
SO - 0005162,2,0.05,207.70,97.62
SO - 0005163,6,0.075,931.30,605.35
SO - 0005164,3,0.05,"5,098.70","3,365.14"
SO - 0005165,8,0.4,"1,165.80",909.32
SO - 0005166,5,0.05,"1,909.50",954.75
SO - 0005167,7,0.05,"6,244.40","5,057.96"
SO - 0005168,4,0.075,"3,872.60","3,252.98"
SO - 0005169,4,0.3,"1,762.10","1,180.61"
SO - 0005170,3,0.075,"2,552.70","1,480.57"
SO - 0005171,4,0.1,"1,005.00",502.50
SO - 0005172,4,0.05,"1,340.00",978.20
SO - 0005173,1,0.05,"1,842.50",921.25
SO - 0005174,2,0.4,"3,852.50","3,236.10"
SO - 0005175,3,0.1,"1,212.70",715.49
SO - 0005176,1,0.05,"3,819.00","2,940.63"
SO - 0005177,8,0.2,"1,065.30",532.65
SO - 0005178,6,0.1,"1,862.60","1,192.06"
SO - 0005179,4,0.1,"1,989.90","1,154.14"
SO - 0005180,8,0.075,"2,693.40","2,289.39"
